Name,Address,City,ST,Zip,County,Website,Phone,Type,New_Revised,Updated
Conny Creek Brewing Co,4323 Shearsburg Rd,New Kensington,PA,15068,"New Kensington, PA, Westmoreland",www.facebook.com/ConnyCreekBrewing,878-302-3052,BC/TR,,
Conshohocken Brewing Co,3 Dekalb St,Bridgeport,PA,19405,"Bridgeport, PA, Montgomery",www.conshohockenbrewing.com/brewpub,610-239-5999,BP,,
Conshohocken Brewing Co,739 E Elm St,Conshohocken,PA,19428,"Conshohocken, PA, Montgomery",conshohockenbrewing.com/,610-897-8962,BC/TR,,
Conshohocken Brewing Co,3100 Horizon Dr - #150,King of Prussia,PA,19406,"King of Prussia, PA, Montgomery",www.conshohockenbrewing.com/kop,484-684-6105,BP,,
Contentment Brewing Co,208 Campus Way,Modesto,CA,95350,"Modesto, CA, Stanislaus",contentmentbrewing.com,209-622-0430,BC/TR,NEW,5/2/2021
Contrary Brewing Co,411 W Mississippi Dr,Muscatine,IA,52761,"Muscatine, IA, Muscatine",www.contrarybrewing.com/,563-299-7894,BC/TR,,
Conversion Brewing Co,833 S Main St,Lebanon,OR,97355,"Lebanon, OR, Linn",www.conversionbrewingcompany.com/,541-259-2337,BP,,
Conyngham Brewing Co,309 Main St,Conyngham,PA,18219,"Conyngham, PA, Luzerne",www.conynghambrewingcompany.com/,570-710-5752,BC/TR,,
Cool Beerworks,5020 Ellinghouse Dr,Cool,CA,95614,"Cool, CA, El Dorado",www.cbwbeer.com/,530-885-5866,BC/TR,,
Cool Springs Brewery,600A Frazier Dr - Suite 135,Franklin,TN,37067,"Franklin, TN, Williamson",www.coolspringsbrewery.com/,615-503-9626,BP,,
Cooling Pond Brewery,4411 Zachary Taylor Hwy,Mineral,VA,23117,"Mineral, VA, Louisa",coolingpondbrewery.com,540-603-0239,BC/TR,,
Coop Ale Works,4745 Council Heights Rd,Oklahoma City,OK,73179,"Oklahoma City, OK, Oklahoma",www.coopaleworks.com/,405-842-2667,BC/TR,,
Cooper and Mill Brewing Co,200 S Dewey Ave,Bartlesville,OK,74003,"Bartlesville, OK, Washington",cooperandmill.com,918-876-3535,BC/TR,,
Cooper Landing Brewing Co,34898 Caribou Heights Dr,Cooper Landing,AK,99572,"Cooper Landing, AK, Kenai Peninsula",www.cooperlandingbrewing.com,907-223-6101,BC,,
Cooper Mountain Ale Works,12568 SW Main St,Tigard,OR,97223,"Portland, OR, Washington",coopermountainaleworks.com,603-624-8900,BP,,
Cooper Mountain Ale Works,15855 SW Kestrel Ct,Beaverton,OR,97007,"Beaverton, OR, Washington",coopermountainaleworks.com,503-580-7175,BC,,
Cooper River Brewing Co,2201 Mechanic St,Charleston,SC,29405,"North Charleston, SC, Charleston",www.facebook.com/pages/Cooper-River-Brewing-Company/1513524798909387 /,843-830-3681,BC/TR,,
Cooperage Brewing Co,981-G Airway Ct,Santa Rosa,CA,95403,"Santa Rosa, CA, Sonoma",www.cooperagebrewing.com/,707-293-9787,BC/TR,,
Coopers Cave Ale Co,2 Sagamore St,Glens Falls,NY,12801,"Glens Falls, NY, Warren",www.cooperscaveale.com/,518-792-0007,BP,,
CooperSmiths Pub & Brewery,5 Old Town Square,Fort Collins,CO,80524,"Fort Collins, CO, Larimer",www.coopersmithspub.com/,970-498-0483,BP,,
Coors Brewing Co (Molson Coors Beverage Co),Rte 340 S,Elkton,VA,22827,"Elkton, VA, Rockingham",www.coors.com/,540-289-8000,BC,,
Coors Brewing Co (Molson Coors Beverage Co),311 10th St,Golden,CO,80401,"Golden, CO, Jefferson",www.coors.com/,303-279-6565,BC,,
Coos Brewing Co,13 Merril St,Colebrook,NH,3576,"Colebrook, NH, Coos",www.coosbeer.com,603-460-4069,BC//TR,,
Copp Brewery & Winery,11 NE 4th Ave,Crystal River,FL,34429,"Crystal River, FL, Citrus",www.CoppBrewery.com/,352-564-9463,BC/TR,,
Copper Brothel Brewery,3112 Hwy 83,Sonoita,AZ,85637,"Sonoita, AZ, Santa Cruz",www.copperbrothelbrewery.com,520-405-6721,BP,,
Copper City Brewing Co,1111 Oneida St,Rome,NY,13440,"Rome, NY, Oneida",www.coppercitybrewing.com,315-281-8987,BC/TR,,
Copper Club Brewing Co,233 E Aspen Ave,Fruita,CO,81521,"Fruita, CO, Mesa",www.copperclubbrew.com/,970-858-8318,BC/TR,,
Copper Hop Brewing Co,23401 Greater Mack Ave,Saint Clair Shores,MI,48080,"Saint Clair Shores, MI, Macomb",thecopperhop.com,586-330-9010,BC/TR,,
Copper Hop Ranch & Microbrewery,2330 Hwy 83,Elgin,AZ,85611,"Elgin, AZ, Santa Cruz",copperhopranch.com,520-455-4673,BC/TR,,
Copper Kettle Brewing,1338 S Valentia St - Unit 100,Denver,CO,80247,"Denver, CO, Arapahoe",www.copperkettledenver.com/,303-525-9894,BC/TR,,
Copper Leaf Brewing Co,50 State St - Bldg G,Pittsford,NY,14534,"Pittsford, NY, Monroe",www.copperleafbrewingco.com,585-678-1383,BC/TR,NEW,5/2/2021
Copper Mine Brewing Co,3455 S Palo Verde Rd,Tucson,AZ,85713,"Tucson, AZ, Pima",www.copperminebrewing.com,520-333-6140,BC/TR,,
Copper Pig Brewery,1 Middle St,Lancaster,NH,3584,"Lancaster, NH, Coos",www.copperpigbrewery.com,603-631-2273,BP,,
Copper State Brewing Co,313 Dousman St,Green Bay,WI,54303,"Green Bay, WI, Brown",www.copperstate.beer,920-489-8575,BP,,
Copper Trail Brewing Co,205 Broadway St,Alexandria,MN,56308,"Alexandria, MN, Douglas",www.coppertrailbrewing.com/,320-219-6688,BC/TR,,
Copper Turret Rest & Brewhouse (Morrisville State College),17 W Main St,Morrisville,NY,13408,"Morrisville, NY, Madison",copperturret.com/,315-684-6699,BP,,
Copperhead Brewing Co,822 N Frazier St,Conroe,TX,77301,"Conroe, TX, Montgomery",copperheadbrewery.com/,281-919-6134,BC/TR,,
Copperpoint Brewing Co,151 Commerce Rd,Boynton Beach,FL,33444,"Delray Beach, FL, Palm Beach",www.copperpointbrewingcompany.com/,561-508-7676,BC/TR,,
Coppertail Brewing Co,2601 E 2nd Ave,Tampa,FL,33605,"Tampa, FL, Hillsborough",www.coppertailbrewing.com/,813-247-1500,BC/TR,,
Corbett Brewery,309 E 7th St,Tucson,AZ,85705,"Tucson, AZ, Pima",www.facebook.com/Corbettbrewingcompany,520-347-6033,BC/TR,,
Core Brewing & Distilling Co,2470 Lowell Rd - #A3,Springdale,AR,72764,"Springdale, AR, Washington",www.corebeer.com/,479-879-2469,BC,,
Core-3 Brewery,609 N Delsea Dr,Clayton,NJ,8312,"Clayton, NJ, Gloucester",www.core3brewery.com,856-498-8945,BC/TR,,
Core4 Brewing Co,7 N Lee Ave,Oklahoma City,OK,73102,"Oklahoma City, OK, Oklahoma",www.facebook.com/Core4Brewing,,BC/TR,,
Corn Coast Brewing Co,1433 Dahberg Dr – Suite A,Lincoln,NE,68512,"Lincoln, NE, Lancaster",www.corncoastbrewing.com,402-413-2288,BC/TR,NEW,7/29/2021
Cornels Brewing Co,13410 Hwy 105,Beaumont,TX,77713,"Beaumont, TX, Jefferson",www.facebook.com/pages/Cornels-Brewing-Company/259073776408?sk=timeline/,409-504-2389,BC,,
Corner Point Brewing Co,1 Sullivan St,Berwick,ME,3901,"Berwick, ME, York",www.facebook.com/cornerpointbrewing/,207-432-1095,BC/TR,,
Corner Pub & Brewery,100 E Main St,Reedsburg,WI,53959,"Reedsburg, WI, Sauk",www.facebook.com/pages/CORNER-PUB-ROCKS/296776924662/,608-524-8989,BP,,
Cornerstone Brewing Co,58 Front St,Berea,OH,44017,"Berea, OH, Cuyahoga",www.cornerstonebrewing.com/,440-239-9820,BP,,
Coronado Brewing Co,1205 Knoxville St,San Diego,CA,92110,"San Diego, CA, San Diego",www.coronadobrewingcompany.com/,619-275-2215,BC/TR,,
Coronado Brewing Co,170 Orange Ave,Coronado,CA,92118,"Coronado, CA, San Diego",www.coronadobrewingcompany.com/,619-437-4452,BP,,
Corporate Ladder Brewing Co,4935 96th St E,Palmetto,FL,34221,"Palmetto, FL, Manatee",corporateladderbrewing.square.site,941-479-4799,BC/TR,NEW,5/2/2021
Corralitos Brewing Co,2536 Freedom Blvd,Watsonville,CA,95076,"Watsonville, CA, Santa Cruz",www.corralitosbrewingco.com/,831-728-2311,BC/TR,,
Corridor Brewery & Provisions,3446 N Southport Ave,Chicago,IL,60657,"Chicago, IL, Cook",www.corridorchicago.com/,773-270-4272,BP,,
Corsair Distillery & Brewery,1200 Clinton St - #110,Nashville,TN,37203,"Nashville, TN, Davidson",,615-200-0320,BC/TR,,
Cortland Beer Co,16 Court St,Cortland,NY,13045,"Cortland, NY, Cortland",www.cortlandbeer.com/,607-662-4389,BC/TR,,
Cosmic Brewery,20316 Gramercy Place,Torrance,CA,90501,"Torrance, CA, Los Angeles",www.cosmicbrewery.com,424-259-2337,BC/TR,,
Cosmic Eye Brewing Co,6800 P St √± Suite 300,Lincoln,NE,68505,"Lincoln, NE, Lancaster",www.cosmiceye.beer,531-500-2739,BC/TR,,
Costa Ventosa Winery & Vineyard,9031 Whaleysville Rd - Route 610,Whaleyville,MD,21872,"Whaleyville, MD, Worcester",www.costaventosa.com/,410-352-9867,BC/TR,,
CoStar Brewing Co,919 N St Clair,Pittsburgh,PA,15206,"Pittsburgh, PA, Allegheny",costarbrewing.com/csb/,412-420-0562,BC,,
Cotee River Brewing Co,5760 Main St,New Port Richey,FL,34652,"New Port Richey, FL, Pasco",coteeriverbrewing.com,727-807-6806,BC/TR,,
Cotton Brewing Co,626 Oak St,Adrian,MI,49221,"Adrian, MI, Lenawee",www.cottonbrewing.com/,517-902-6608,BP,,
Cottontown Brew Lab,1223 Franklin St,Columbia,SC,29201,"Columbia, SC, Richland",cottontownbrewlab.com/,844-427-3952,BC,,
Cottrell Brewing Co,100 Mechanic,Pawcatuck,CT,6379,"Pawcatuck, CT, New London",www.cottrellbrewing.com/,860-599-8123,BC/TR,,
Couch Brewery,1351 Washington Blvd,Pittsburgh,PA,15206,"Pittsburgh, PA, Allegheny",www.couchbrewery.com/,412-441-1724,BC/TR,,
Council Rock Brewery,4861 State Hwy 28,Cooperstown,NY,13326,"Cooperstown, NY, Otsego",www.councilrockbrewery.com/,607-435-3438,BP,,
Counter Culture Brewery and Grill,205 E Seventh Ave,Denver,CO,80203,"Denver, CO, Denver",www.facebook.com/CounterCultureBrewery,970-481-0206,BP,,
Counter Weight Brewing Co,23 Raccio Park Rd,Hamden,CT,6514,"Hamden, CT, New Haven",www.counterweightbrewing.com/ /,203-821-7333,BC/TR,,
Counterbalance Brewing Co,503 S Michigan St - Suite B,Seattle,WA,98108,"Seattle, WA, King",counterbalancebeer.com/,206-453-3615,BC/TR,,
Country Boy Brewing Co,436 Chair Ave,Lexington,KY,40508,"Lexington, KY, Fayette",countryboybrewing.com/,270-993-2143,BC,,
Country Monks Brewing Co (Subiaco Abbey),405 N Subiaco Ave,Subiaco,AR,72865,"Subiaco, AR, Logan",www.facebook.com/countrymonksbrewing,479-934-1000,BC,,
County Line Brewing Co,9115 W Chinden Blvd - #107,Garden City,ID,83714,"Garden City, ID, Ada",www.countylinebrewing.com/,208-830-2456,BC/TR,,
Court Ave Restaurant & Brewing Co,309 Court Ave,Des Moines,IA,50309,"Des Moines, IA, Polk",www.courtavebrew.com/,515-282-2739,BP,,
Courthouse Pub,8th & Washington,Manitowoc,WI,54220,"Manitowoc, WI, Manitowoc",www.courthousepub.com/,920-686-1166,BP,,
Courtyard Brewery,1020 Erato St,New Orleans,LA,70130,"New Orleans, LA, Orleans",www.courtyardbrewing.com/,,BC/TR,,
COVA Brewing Co,9529 Shore Dr,Norfolk,VA,23518,"Norfolk, VA, Norfolk",covabrewco.com,757-917-5499,BP,,
Covered Bridge Brewhaus,15 Campbell Rd,Catawissa,PA,17820,"Catawissa, PA, Columbia",www.facebook.com/cbbhaus/,570-672-1283,BC,,
Covered Bridge Brewing Group,926 E Main St,Cottage Grove,OR,97424,"Cottage Grove, OR, Lane",coveredbridgebrewinggroup.com,541-649-1419,BC/TR,,
Covered Bridge Craft Brewery,30 Sleepy Hollow Ln - SEASONAL TR,Lyndonville,VT,5851,"Lyndonville, VT, Caledonia",www.coveredbridgebrew.com/,,BC/TR,,
Covert Artisan Ales,605 S Watson Ave - Suite 130,Sioux Falls,SD,57107,"Sioux Falls, SD, Minnehaha",www.covertartisanales.com,605-681-6139,BC,,
Covington Brewhouse,226 Lockwood St,Covington,LA,70434,-1,covingtonbrewhouse.com/,985-893-2884,BC,,
Cowboy State Brewing Co,316 S Birch St,Glenrock,WY,82637,"Glenrock, WY, Converse",www.facebook.com/CSBwyo/,307-797-1224,BC/TR,,
Cowiche Creek Brewing Co,514 Thompson Rd,Cowiche,WA,98923,"Cowiche, WA, Yakima",www.cowichecreekbrewing.com,509-6789-0324,BC/TR,,
Cowtown Brewing Co,1301 E Belknap St,Fort Worth,TX,76102,"Fort Worth, TX, Tarrant",www.cowtownbrewco.com,817-489-5800,BP,,
Cox Brewing Co,276 Heisey Quarry Rd - Bldg 1 - Bay 5,Elizabethtown,PA,17022,"Elizabethtown, PA, Lancaster",www.coxbrewingcompany.com/,717-449-9926,BC/TR,,
CR Brewing Co (Crane Room Grill),3009 Wilmington Rd,New Castle,PA,16105,"New Castle, PA, Lawrence",www.crbrewingcompany.com,724-656-1553,BP,,
Crabtree Brewing Co,2961 29th St,Greeley,CO,80631,"Greeley, CO, Weld",www.crabtreebrewing.com/,970-356-0516,BC/TR,,
Craft Advisory Brewing Co,1314 Government St,Ocean Springs,MS,39064,-1,www.facebook.com/CraftAdvisoryBrewing,228-209-9914,BP,,
Craft and Growler,3601 Parry Ave,Dallas,TX,75226,"Dallas, TX, Dallas",www.craftandgrowler.com,214-821-1122,BP,,
Craft Brewing Co,530 Crane St - Suite C,Lake Elsinore,CA,92530,"Lake Elsinore, CA, Riverside",www.craftbrewingcompany.com/,951-674-2562,BC/TR,,
Craft Life Brewing Co,6810 Tower Dr,Hudson,FL,34667,"Hudson, FL, Pasco",craftlifebrewingcompany.com,727-378-4530,BC/TR,,
Craft of Brewing,21140 Ashburn Crossing Dr - Suite 170,Ashburn,VA,20147,"Ashburn, VA, Loudoun",www.thecraftob.com,703-687-3932,BC/TR,,
Craft Rhythm and Brews Brewing Co,1301Texas Ave - Unit A,El Paso,TX,79901,"El Paso, TX, El Paso",www.craftrhythmandbrews.com,915-301-0010,BC/TR,NEW,5/2/2021
Craftboro Brewing Depot,101 Two Hills Dr - Unit 180,Carboro,NC,27510,"Carrboro, NC, Orange",craftborobrewing.com,919-240-4400,BC/TR,,
Crafted Culture Brewing Co,505 Morrison Rd,Columbus,OH,43230,"Columbus, OH, Franklin",www.craftedculturebrew.com,614-266-8920,BC/TR,NEW,6/22/2021
Crafted Nano Brewery,1016 Tiffin Ave - Unit B,Findlay,OH,45840,"Findlay, OH, Hancock",craftedfbc.business.site,419-889-2722,BC/TR,,
CraftHaus Brewery,7350 Eastgate Rd - #110,Henderson,NV,89011,"Henderson, NV, Clark",www.crafthausbrewery.com/,702-415-9184,BC/TR,,
CraftRoots Brewing Co,4 Industrial Rd,Milford,MA,1757,"Milford, MA, Worcester",www.craftrootsbrewing.com/,508-381-1920,BC/TR,,
Craftsman Brewing Co,1260 Lincoln Ave – Suite 100,Pasadena,CA,91103,"Pasadena, CA, Los Angeles",www.craftsmanbrewing.com/,626-296-2537,BC,REVISED,7/27/2021
Crafty Ales and Lagers Brewing Co,2 Exchange St,Phelps,NY,14532,"Phelps, NY, Ontario",www.drinkcraftyales.com/,315-332-1606,BC/TR,,
Crafty Bastard Brewery,6 Emory Pl,Knoxville,TN,37917,"Knoxville, TN, Knox",www.craftybastardbrewery.com/,865-755-2358,BC/TR,,
Crafty Bastard Brewery West,9937 Kingston Pike,Knoxville,TN,37922,"Knoxville, TN, Knox",www.craftybastardbrewery.com/crafty-west-homepage,865-770-8743,BC/TR,NEW,7/29/2021
Crafty Cats Brewing Co,1021 S Main St – Suite D,Greenville,SC,29601,"Greenville, SC, Greenville",craftycatsbrewing.com,864-509-0917,BP,NEW,7/29/2021
Crane Brewing Co,6515 Railroad St,Raytown,MO,64133,"Kansas City, MO, Jackson",www.cranebrewing.com/,816-743-4132,BC/TR,,
Cranes Castle Brewing Co,1550 NE Riddle Rd - Suite 180,Bremerton,WA,98310,"Bremerton, WA, Kitsap",cranescastlebeer.com,,BC/TR,,
Crank Arm Brewing Co,319 W Davie St,Raleigh,NC,27601,"Raleigh, NC, Wake",www.crankarmbrewing.com/,919-291-0643,BC/TR,,
Crankers Brewery,213 South State St,Big Rapids,MI,49307,"Big Rapids, MI, Mecosta",www.crankersbrewery.com/,231-796-1919,BP,,
Crankers Restaurant & Brewery,1207 E Pickard St,Mount Pleasant,MI,48858,"Mount Pleasant, MI, Isabella",www.crankersbrewery.com/,989-779-1919,BP,,
Crankers Restaurant & Brewery,454 68th St SW,Grand Rapids,MI,49548,"Grand Rapids, MI, Kent",www.crankersbrewery.com/,616-827-1919,BP,,
Crasian Brewing Co,207 S Railroad St - Suite B,Brookston,IL,47923,"Brookston, IN, White",www.crasianbrewing.com,765-563-8339,BC/TR,,
Crasian Brewing Co,207 S Railroad St √± Suite B,Brookston,IN,47923,"Brookston, IN, White",www.crasianbrewing.com,765-563-8339,BC/TR,,
Cravings Bistro & Brew Pub,1599 Mall Dr - Suite B,Benton Harbor,MI,49022,"Benton Harbor, MI, Berrien",www.cravingsbistroandbrewpub.com/,269-934-9700,BP,,
Crawford Brew Works,3659 Devils Glen Rd,Bettendorf,IA,52722,"Bettendorf, IA, Scott",www.crawfordbrewworks.com,563-332-0243,BC/TR,,
Crazy Dicks Brewing Co,1040 Eastmont Ave - #7,East Wenatchee,WA,98802,"East Wenatchee, WA, Douglas",,540-308-3093,BC,,
Crazy Dingo Brewing Co (Southern Fresh Farms),8500 Penzance Blvd,Fort Myers,FL,33912,"Fort Myers, FL, Lee",www.crazydingobrewing.com,239-768-0309,BP,,
Crazy Gnome Brewery,948 Main St,Nashville,TN,37206,"Nashville, TN, Davidson",www.cgbrewing.com,865-776-4891,BC/TR,,
Crazy Llama Brewing Co,5312 Williams Dr,Roscoe,IL,61073,"Roscoe, IL, Winnebago",www.crazyllamabrewing.com,815-914-4279,BC/TR,NEW,10/18/2021
Crazy Mountain Brewing Co (Denver Tap Room + BBQ),471 S Kalamath,Denver,CO,80204,"Denver, CO, Denver",crazymountainbrewery.com/,720-379-4520,BP,,
Crazy Rooster Brewing Co,1560 Oakbridge Dr,Powhatan,VA,23139,"Powhatan, VA, Powhatan",www.crazyroosterbrewing.com,804-464-2958,BC/TR,,
Crazy Williez Brewery,546 Silver St,Ilion,NY,13357,"Ilion, NY, Herkimer",www.facebook.com/CrazyWilliezBrewery/,315-865-0166,BC/TR,,
Creative Creature Brewing Co,110 N Magnolia Ave,El Cajon,CA,92020,"El Cajon, CA, San Diego",www.creativecreaturebrewing.com,619-201-8180,BC/TR,,
Creative Shepherd Farm Brewing Co,6141 W Ava Rd,Ava,NY,13303,"Ava, NY, Oneida",www.facebook.com/creativeshepherdfarm/,215-200-4480,BC,,
Creature Comforts Brewing Co,271 W Hancock Ave,Athens,GA,30601,"Athens, GA, Clarke",www.creaturecomfortsbeer.com/,706-621-6595,BC,,
Creature Comforts Brewing Co,285 Bryan St,Athens,GA,30601,"Athens, GA, Clarke",www.creaturecomfortsbeer.com,,BC,,
Creatures of Habit Brewing Co,1031 Meridian St,Anderson,IN,46016,"Anderson, IN, Madison",www.facebook.com/CreaturesBrew,765-400-0116,BC/TR,,
Creek Bottom Brewing Co,307 N Meadow St,Galax,VA,24333,"Galax, VA, Galax",creekbottombrewing.com/,276-236-2337,BC/TR,,
Crescent Brewery,2200 Cortland Place,Nampa,ID,83687,"Nampa, ID, Canyon",www.crescentbeer.com/,208-968-1034,BC/TR,,
Crescent City Brewhouse,527 Decatur St,New Orleans,LA,70130,"New Orleans, LA, Orleans",www.crescentcitybrewhouse.com/,504-522-0571,BP,,
Creston Brewery - CLOSED 2020,1504 Plainfield Ave NE,Grand Rapids,MI,49505,"Grand Rapids, MI, Kent",,616-805-4523,BP,REVISED,5/1/2021
Crestone Brewing Co - CLOSED 2021,187 W Silver Ave,Crestone,CO,81131,"Crestone, CO, Saguache",,719-256-6400,BP,REVISED,5/31/2021
Cricket Hill Brewing Co,24 Kulick Rd,Fairfield,NJ,7004,"Fairfield, NJ, Essex",www.crickethillbrewery.com/,973-276-9414,BC/TR,,
Crime and Punishment Brewery,2711 W Girard Ave,Philadelphia,PA,19130,"Philadelphia, PA, Philadelphia",www.crimeandpunishmentbrewery.com/,215-235-2739,BP,,
Crisis Brewing Co,210 S Archibald Yell Blvd,Fayetteville,AR,72701,"Fayetteville, AR, Washington",crisisbrew.com,479-582-2337,BC/TR,,
Crisis Brewing Co,200 S Archibald Yell Blvd,Fayetteville,AR,72701,"Fayetteville, AR, Washington",crisisbrew.com,479-582-2337,BP,,
Critz Farms Brewing & Cider Co,3232 Rippleton Rd - SEASONAL,Cazenovia,NY,13035,"Cazenovia, NY, Madison",www.critzfarms.com/,315-662-3355,BC/TR,,
Croakers Brewing Co,2017 W State St √± Suite E,New Castle,PA,16101,"New Castle, PA, Lawrence",croakersbrew.com/#,724-202-7808,BC,,
Crooked Can Brewing Co,426 W Plant St,Winter Garden,FL,34787,"Winter Garden, FL, Orange",crookedcan.com/,407-395-9520,BC/TR,,
Crooked Can Brewing Co,5354 Center St,Hilliard,OH,43026,"Hilliard, OH, Franklin",crookedcanohio.com,614-664-6023,BC/TR,,
Crooked Crab Brewing Co,8251 Telegraph Rd - Suite E,Odenton,MD,21113,"Odenton, MD, Anne Arundel",www.crookedcrabbrewing.com,443-569-9187,BC/TR,,
Crooked Current Brewery,560 Mineral Spring Ave,Pawtucket,RI,2860,"Pawtucket, RI, Providence",crookedcurrent.com/,401-473-8312,BC/TR,,
Crooked Ewe Brewery & Ale House,1047 Lincoln Way E,South Bend,IN,46601,"South Bend, IN, St. Joseph",crookedewe.com/,574-217-0881,BP,,
Crooked Eye Brewing Co,13 E Montgomery Ave - #2,Hatboro,PA,19040,"Hatboro, PA, Montgomery",www.crookedeyebrewery.com/,267-803-6925,BC/TR,,
Crooked Fence Brewing Co,5220 N Sawyer Ave,Garden City,ID,83714,"Garden City, ID, Ada",crookedfencebrewing.com,208-375-7907,BC/TR,,
Crooked Fence Brewing Co,5220 N Sawyer Ave,Garden City,ID,83714,"Garden City, ID, Ada",www.crookedfencebrewing.com,208-375-7907,BC/TR,,
Crooked Furrow Brewing Co,2801 N Roberts St,Helena,MT,59601,"Helena, MT, Lewis and Clark",crookedfurrowbrewing.com/,,BC/TR,,
Crooked Goat Brewing Co,120 Morris St - Suite 120,Sebastopol,CA,95472,"Sebastopol, CA, Sonoma",www.crookedgoatbrewing.com/,707-835-4256,BP,,
Crooked Hammock Brewery,4926 Hwy 17 South – Unit 2,North Myrtle Beach,SC,29582,"North Myrtle Beach, SC, Horry",crookedhammockbrewery.com/northmyrtlebeach,843-962-7238,BP,NEW,5/2/2021
Crooked Hammock Brewery and Beer Garden,320 Auto Park Dr,Middletown,DE,19709,"Middletown, DE, New Castle",chbmiddletown.com,302-644-7837,BP,,
Crooked Hammock Brewing Co,16989 Kings Hwy,Lewes,DE,19958,"Lewes, DE, Sussex",www.crookedhammock.com/,302-644-7837,BP,,
Crooked Handle Brewing Co,760 N Main St,Springboro,OH,45066,"Springboro, OH, Warren",www.chbeer.com/,937-790-3450,BC/TR,,
Crooked Lane Brewing Co,536 Grass Valley Hwy,Auburn,CA,95603,"Auburn, CA, Placer",www.crookedlanebrewing.com,530-878-5232,BC/TR,,
Crooked Letter Brewing Co,503 Porter Ave,Ocean Springs,MS,39564,"Ocean Springs, MS, Jackson",crookedletter.weebly.com,228-235-3994,BP,,
Crooked Pecker Brewing Co,8284 E Washington St,Chagrin Falls,OH,44023,"Chagrin Falls, OH, Geauga",crookedpeckerbrewing.com,440-384-3452,BC/TR,,
Crooked River Brewing Co,420 N Main St,Prineville,OR,97754,"Prineville, OR, Crook",crbrewing.com/,541-362-5583,BP,,
Crooked Run Brewing Co,205 Harrison St SE - Market Station,Leesburg,VA,20175,"Leesburg, VA, Loudoun",www.crbrewva.com/,703-609-9241,BC/TR,,
Crooked Run Brewing Co (Senor Ramon Taqueria),22455 Davis Dr - #120,Sterling,VA,20166,"Sterling, VA, Loudoun",www.crookedrunbrewing.com/,571-918-4446,BP,,
Crooked Stave Artisan Beer Project,1441 W 46th Ave - Unit 19,Denver,CO,80211,"Denver, CO, Denver",www.crookedstave.com/,720-508-3292,BC,,
Crooked Thumb Brewery,555 10th Ave S,Safety Harbor,FL,34695,"Safety Harbor, FL, Pinellas",crookedthumbbrew.com/,727-724-5953,BC/TR,,
Crooked Tongue Brewing Co,2516 Benjamin Franklin Hwy,Edinburg,PA,16116,"Edinburg, PA, Lawrence",www.crookedtonguebrewing.com/,724-856-3765,BC/TR,,
Crooked Tooth Brewing Co,228 E 6th St,Tucson,AZ,85705,"Tucson, AZ, Pima",www.facebook.com/crookedtoothbrewery,520-403-2721,BC/TR,,
Cross Keys Brewing Co,1038 N Main St,Williamstown,NJ,8094,"Williamstown, NJ, Gloucester",ckbcbeer.com,,BC/TR,,
Cross Timbers Brewing Co (Brewers Union),520 N Meridian Ave,Oklahoma City,OK,73107,"Oklahoma City, OK, Oklahoma",www.facebook.com/crosstimbersbrew,405-612-8118,BC/TR,,
Crossbuck Brewing Co,416 N 2nd Ave,Walla Walla,WA,99362,"Walla Walla, WA, Walla Walla",crossbuckbrewing.com,509-526-4100,BP,,
Crossed Cannons Brewing Co (Brewers Union),520 N Meridian Ave,Oklahoma City,OK,73107,"Oklahoma City, OK, Oklahoma",crosstimbersbrewing.com,405-612-8118,BC/TR,,
Crossings Restaurant & Brew Pub,45 Main St,Putnam,CT,6260,"Putnam, CT, Windham",www.thecrossingsbrewpub.com/,860-928-3663,BP,,
Crossroads Brewing Co,21 2nd St,Athens,NY,12015,"Athens, NY, Greene",www.crossroadsbrewingco.com/,518-945-2337,BP,,
Crossroads Brewing Co,201 Water St,Catskill,NY,12414,"Catskill, NY, Greene",crossroadsbrewingco.com/,,BC/TR,,
Crosstown Brewing Co,1264 Concourse Ave,Memphis,TN,38104,"Memphis, TN, Shelby",crosstownbeer.com,901-529-7611,BC/TR,,
Crosstown Brewing Co,1264 Concourse Ave,Memphis,TN,38104,"Memphis, TN, Shelby",crosstownbeer.com,901-529-7611,BC/TR,,
Crow and Wolf Brewing Co,527 Park Creek Dr,Clovis,CA,93611,"Clovis, CA, Fresno",www.cawbrewing.com,559-940-7542,BC/TR,NEW,5/2/2021
Crow Hop Brewing Co,217 E Third St,Loveland,CO,80537,"Loveland, CO, Larimer",crowhopbrewing.com/,970-633-0643,BC/TR,,
Crow Peak Brewing Co,125 W Hwy 14,Spearfish,SD,57783,"Spearfish, SD, Lawrence",www.crowpeakbrewing.com/,605-717-0006,BC/TR,,
Crowded Castle Brewing Co,242 Bridge St,Phoenixville,PA,19460,"Phoenixville, PA, Chester",www.crowdedcastle.com/,484-252-0077,BC/TR,,
Crown Brewing Co,211 S East St,Crown Point,IN,46307,"Crown Point, IN, Lake",www.crownbrewing.com/,219-306-0641,BP,,
Crown Valley Brewery,13326 State Route F,St Genevieve,MO,63670,"Sainte Genevieve, MO, Ste. Genevieve",www.crownvalleybrewery.com/,573-756-9700,BC/TR,,
Crucible Brewing Co,900 Everett Mall Way SE - Suite D440,Everett,WA,98208,"Everett, WA, Snohomish",www.cruciblebrewing.com/,425-374-7293,BC/TR,,
